date,team,opponent,venue,xg_pre_market_for,xg_pre_market_against,xg_actual_for,xg_actual_against,goals_for,goals_against,xg_delta_for,xg_delta_against,xg_delta_for_rolling,xg_delta_against_rolling,opponent_avg_xg_delta_for,opponent_avg_xg_delta_against,xg_delta_for_adj,xg_delta_against_adj,xg_delta_for_adj_rolling,xg_delta_against_adj_rolling,xpts_actual,xpts_market,xpts_delta,xpts_actual_cumulative,xpts_market_cumulative
2026-08-01,Aberdeen,Heart of Midlothian,home,1.272,1.588,2.66,1.83,2,1,1.3880000000000001,0.242,1.3880000000000001,0.242,-0.00239999999999998,0.06259999999999999,1.3254000000000001,0.24439999999999998,1.3254000000000001,0.24439999999999998,1.855,1.165,0.69,1.855,1.165
2026-08-08,Aberdeen,Dundee,away,1.409,1.345,0.71,1.83,0,2,-0.6990000000000001,0.4850000000000001,0.34450000000000003,0.36350000000000005,-0.03840000000000006,-0.12179999999999999,-0.5772,0.5234000000000002,0.37410000000000004,0.3839000000000001,0.636,1.416,-0.78,2.491,2.581
2026-08-30,Aberdeen,Rangers,home,1.137,1.875,0.35,2.1,0,1,-0.787,0.2250000000000001,-0.032666666666666656,0.3173333333333334,0.18880000000000008,0.27899999999999997,-1.066,0.03620000000000001,-0.10593333333333332,0.26800000000000007,0.313,0.912,-0.599,2.804,3.493
2026-09-02,Aberdeen,Celtic,away,0.796,2.739,0.68,2.67,0,3,-0.11599999999999999,-0.06899999999999995,-0.05349999999999999,0.22075000000000006,0.7274,-0.0030000000000000027,-0.11299999999999999,-0.7964,-0.10769999999999999,0.0019000000000000405,0.347,0.385,-0.038,3.151,3.878
2026-09-05,Aberdeen,Kilmarnock,home,1.879,1.082,1.08,1.11,0,0,-0.7989999999999999,0.028000000000000025,-0.20259999999999997,0.18220000000000006,-0.06640000000000006,0.8310000000000001,-1.63,0.09440000000000008,-0.41215999999999997,0.02040000000000005,1.331,1.904,-0.573,4.482,5.782
2026-09-15,Aberdeen,Motherwell,away,1.132,1.78,0.9,0.85,4,0,-0.23199999999999987,-0.93,-0.20749999999999993,-0.0031666666666666323,0.41500000000000004,0.506,-0.7379999999999999,-1.3450000000000002,-0.46646666666666664,-0.20716666666666664,1.374,0.957,0.417,5.856,6.739
2026-08-03,Celtic,Dundee,home,2.831,0.807,2.25,0.49,1,0,-0.581,-0.31700000000000006,-0.581,-0.31700000000000006,0.12199999999999997,-0.14540000000000003,-0.43559999999999993,-0.43900000000000006,-0.43559999999999993,-0.43900000000000006,2.488,2.502,-0.014,2.488,2.502
2026-08-09,Celtic,Kilmarnock,away,2.398,0.98,5.44,0.98,5,1,3.0420000000000003,0.0,1.2305000000000001,-0.15850000000000003,-0.060800000000000055,0.06280000000000001,2.9792,0.060800000000000055,1.2718,-0.1891,2.817,2.238,0.579,5.305,4.74
2026-08-29,Celtic,Falkirk,home,2.777,0.822,3.45,0.57,2,1,0.673,-0.252,1.0446666666666669,-0.18966666666666668,-0.13820000000000002,0.07620000000000005,0.5968,-0.11379999999999998,1.0468,-0.164,2.756,2.476,0.28,8.061,7.216
2026-09-02,Celtic,Aberdeen,home,2.739,0.796,2.67,0.68,3,0,-0.06899999999999995,-0.11599999999999999,0.7662500000000001,-0.17125,-0.22579999999999992,0.010000000000000031,-0.07899999999999999,0.10979999999999993,0.76535,-0.09555000000000002,2.519,2.478,0.041,10.58,9.694
2026-09-05,Celtic,St Mirren,away,2.249,1.033,3.19,1.95,2,1,0.9409999999999998,0.917,0.8012,0.0464,0.37,-0.18420000000000006,1.1252,0.547,0.8373200000000001,0.03295999999999999,2.032,2.135,-0.103,12.612,11.829
2026-09-09,Celtic,St Johnstone,away,2.238,1.053,1.8,0.69,1,0,-0.43799999999999994,-0.363,0.5946666666666668,-0.021833333333333333,0.27559999999999996,0.2096,-0.6476,-0.6386,0.5898333333333333,-0.07896666666666667,2.142,2.116,0.026,14.754,13.945
2026-08-03,Dundee,Celtic,away,0.807,2.831,0.49,2.25,0,1,-0.31700000000000006,-0.581,-0.31700000000000006,-0.581,0.8298000000000002,0.03720000000000001,-0.35420000000000007,-1.4108,-0.35420000000000007,-1.4108,0.354,0.367,-0.013,0.354,0.367
2026-08-08,Dundee,Aberdeen,home,1.345,1.409,1.83,0.71,2,0,0.4850000000000001,-0.6990000000000001,0.08400000000000002,-0.64,-0.10919999999999992,-0.10079999999999997,0.5858000000000001,-0.5898000000000001,0.11580000000000001,-1.0003000000000002,2.144,1.329,0.815,2.498,1.696
2026-08-22,Dundee,Dundee United,away,1.225,1.538,1.43,1.19,2,0,0.20499999999999985,-0.3480000000000001,0.1243333333333333,-0.5426666666666667,0.4281999999999999,-0.030400000000000028,0.2353999999999999,-0.7762,0.15566666666666665,-0.9256000000000001,1.537,1.161,0.376,4.035,2.857
2026-08-30,Dundee,Hibernian,home,1.216,1.508,1.01,2.33,1,2,-0.20599999999999996,0.8220000000000001,0.04174999999999998,-0.2015,0.10640000000000005,0.5611999999999999,-0.7671999999999999,0.7156,-0.07504999999999999,-0.5153000000000001,0.629,1.173,-0.544,4.664,4.03
2026-09-02,Dundee,St Johnstone,home,1.374,1.374,2.04,1.07,1,1,0.6659999999999999,-0.30400000000000005,0.16659999999999997,-0.22200000000000003,0.2637999999999999,-0.011199999999999943,0.6771999999999999,-0.5678,0.0754,-0.5258,2.003,1.372,0.631,6.667,5.402
2026-09-06,Dundee,Heart of Midlothian,away,0.96,2.118,0.42,1.92,1,2,-0.54,-0.19799999999999995,0.048833333333333305,-0.218,0.08560000000000001,0.44820000000000004,-0.9882000000000001,-0.28359999999999996,-0.1018666666666667,-0.4854333333333334,0.406,0.683,-0.277,7.073,6.085
2026-07-31,Dundee United,Rangers,home,1.05,2.214,1.64,1.46,1,1,0.5899999999999999,-0.754,0.5899999999999999,-0.754,0.3846000000000001,0.003599999999999981,0.5863999999999999,-1.1386,0.5863999999999999,-1.1386,1.498,0.699,0.799,1.498,0.699
2026-08-09,Dundee United,Heart of Midlothian,away,0.979,1.924,0.58,2.15,0,4,-0.399,0.22599999999999998,0.09549999999999992,-0.264,0.0008000000000000229,0.42000000000000004,-0.8190000000000001,0.22519999999999996,-0.11630000000000007,-0.45670000000000005,0.435,0.78,-0.345,1.933,1.479
2026-08-22,Dundee United,Dundee,home,1.538,1.225,1.19,1.43,0,2,-0.3480000000000001,0.20499999999999985,-0.05233333333333342,-0.10766666666666673,0.017599999999999994,-0.192,-0.15600000000000008,0.18739999999999984,-0.12953333333333342,-0.24200000000000008,1.202,1.588,-0.386,3.135,3.067
